# -----------------------------------------------------------------------------
#
# CSV file for Amount types. This is only loaded into the database if we're
# initializing the db because it's empty.
#
# row, col, value, label, measuredAt
# -----------------------------------------------------------------------------
0,0,0.0, ,2015-01-02T10:20:30.100Z
0,1,2.381, ,2015-01-02T10:20:30.100Z
0,2,28.571, ,2015-01-02T10:20:30.100Z
0,3,45.283, ,2015-01-02T10:20:30.100Z
0,4,66.667, ,2015-01-02T10:20:30.100Z
1,0,76.190, ,2015-01-02T10:20:30.100Z
1,1,83.333, ,2015-01-02T10:20:30.100Z
1,2,92.857, ,2015-01-02T10:20:30.100Z
1,3,92.857, ,2015-01-02T10:20:30.100Z
1,4,92.857, ,2015-01-02T10:20:30.100Z
